"protein","totalFat","calories","starch","sucrose","glucose","lactose","alcohol","adj_protein","caffeine","theobromine","sugars","fiber","calcium","iron","magnesium","sodium","vitA","vitD","vitC","monoFat","polyFat","transFat","satFat","cholesterol","carbohydrate","id","desc","foodGroup","fgId","choFact","nfactor","proFact","fatFact","energy"
"2.97g","0.79g","36kcal","0","0","0","0","0g","0","0mg","0mg","0.85g","3.3g","138mg","6.2mg","50mg","56mg","8424IU","0IU","133mg","0.295g","0.124g","0","0.132g","0mg","6.33g","11297","Parsley, fresh","Vegetables and Vegetable Products","1100","3.57","6.25","2.44","8.37","151kJ"
"3g","12.52g","265kcal","0","0.33g","0.64g","0g","0g","0","0mg","0mg","1.49g","3.2g","14mg","0.55mg","35mg","342mg","5IU","0IU","13mg","5.299g","4.703g","0","1.883g","0mg","35.11g","11370","Potatoes, hash brown, home-prepared","Vegetables and Vegetable Products","1100","NULL","NULL","NULL","NULL","1109kJ"
"2.06g","0.62g","82kcal","0","0","0","0","0","0","0","0","0","1.4g","10mg","0.98mg","11mg","22mg","0IU","0IU","8.2mg","0.014g","0.269g","0","0.163g","0","17.72g","11390","Potatoes, hash brown, frozen, plain, unprepared","Vegetables and Vegetable Products","1100","4.03","6.25","2.78","8.37","343kJ"
"2.65g","11.59g","219kcal","24.57g","0g","0.26g","0g","0g","0","0mg","0mg","0.27g","3.2g","17mg","0.54mg","28mg","15mg","0IU","0IU","6.7mg","7.295g","2.785g","0.036g","0.934g","0mg","28.51g","11391","Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil","Vegetables and Vegetable Products","1100","4.03","6.25","2.78","8.37","917kJ"
"2.46g","8.79g","178kcal","0","0","0","0","0","0","0","0","0","3.8g","33mg","0.99mg","15mg","101mg","111IU","0IU","3.8mg","3.149g","1.814g","0","3.373g","23mg","24.13g","11393","Potatoes, hash brown, frozen, with butter sauce, prepared","Vegetables and Vegetable Products","1100","4.03","6.25","2.78","8.37","745kJ"
"2.98g","0.35g","28kcal","0","0","0","0","0","0","0","0","0","0","48mg","0.88mg","25mg","27mg","3000IU","0IU","93.2mg","0.024g","0.167g","0","0.054g","0mg","5.24g","11740","Broccoli, flower clusters, raw","Vegetables and Vegetable Products","1100","3.57","6.25","2.44","8.37","117kJ"
"0.99g","0.3g","31kcal","0g","0g","1.94g","0g","0g","0","0mg","0mg","4.2g","2.1g","7mg","0.43mg","12mg","4mg","3131IU","0IU","127.7mg","0.003g","0.07g","0","0.027g","0mg","6.03g","11821","Peppers, sweet, red, raw","Vegetables and Vegetable Products","1100","NULL","NULL","NULL","NULL","129kJ"
"1.1g","0.3g","23kcal","0","0","0","0","0g","0","0mg","0mg","2.71g","1.9g","6mg","1.68mg","6mg","14mg","2655IU","0IU","84.9mg","0.02g","0.161g","0","0.045g","0mg","5.1g","11943","Pimento, canned","Vegetables and Vegetable Products","1100","3.57","6.25","2.44","8.37","96kJ"
"21.4g","52.52g","590kcal","1g","4.46g","0.03g","0g","0g","0","0mg","0mg","4.63g","9.9g","236mg","3.28mg","268mg","19mg","7IU","0IU","0mg","33.415g","12.368g","0.019g","3.953g","0mg","18.67g","12062","Nuts, almonds, blanched","Nut and Seed Products","1200","4.07","5.18","3.47","8.37","2468kJ"
"18.29g","42.16g","534kcal","0","1.15g","0.4g","0g","0g","0","0mg","0mg","1.55g","27.3g","255mg","5.73mg","392mg","30mg","0IU","0IU","0.6mg","7.527g","28.73g","0","3.663g","0mg","28.88g","12220","Seeds, flaxseed","Nut and Seed Products","1200","4.07","5.3","3.47","8.37","2234kJ"
"19.25g","10.67g","173kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","18mg","2.12mg","19mg","82mg","13IU","4IU","0mg","6.54g","1.04g","0.784g","2.94g","73mg","0g","13791","Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0" fat, select, raw","Beef Products","1300","NULL","6.25","NULL","NULL","724kJ"
"6.67g","4g","398kcal","0","0","0","0","0g","0","18mg","323mg","65.55g","3.7g","133mg","1.19mg","83mg","504mg","4IU","0IU","0.2mg","1.325g","0.114g","0","2.377g","0mg","83.73g","14192","Cocoa mix, powder","Beverages","1400","4","6.25","4","9","1664kJ"
"0.12g","0.18g","9kcal","0","0","0","0","0g","0","212mg","0mg","0g","0g","2mg","0.13mg","80mg","14mg","0IU","0IU","0.2mg","0g","0.092g","0g","0.092g","0mg","1.67g","14210","Coffee, brewed, espresso, restaurant-prepared","Beverages","1400","4.07","6.25","3.47","8.37","36kJ"
"7.52g","0.1g","128kcal","0","0","0","0","0","0","0","0","0","7.3g","28mg","2mg","52mg","8mg","6IU","0IU","0mg","0.009g","0.021g","0","0.036g","0mg","24.77g","16002","Beans, adzuki, mature seeds, cooked, boiled, without salt","Legumes and Legume Products","1600","4.07","6.25","3.47","8.37","536kJ"
"21.6g","1.42g","341kcal","0","0","0","0","0g","0","0mg","0mg","2.12g","15.5g","123mg","5.02mg","171mg","5mg","17IU","0IU","0mg","0.123g","0.61g","0","0.366g","0mg","62.36g","16014","Beans, black, mature seeds, raw","Legumes and Legume Products","1600","4.07","6.25","3.47","8.37","1425kJ"
"18.54g","10.8g","193kcal","0","0","0","0","0","0","0","0","0","0","111mg","2.7mg","81mg","9mg","0IU","0IU","0mg","3g","3.827g","0","2.22g","0mg","9.39g","16114","Tempeh","Legumes and Legume Products","1600","4.07","5.71","3.47","8.37","807kJ"
"80.69g","3.39g","338kcal","0","0","0","0","0g","0","0mg","0mg","0g","5.6g","178mg","14.5mg","39mg","1005mg","0IU","0IU","0mg","0.645g","1.648g","0","0.422g","0mg","7.36g","16122","Soy protein isolate","Legumes and Legume Products","1600","4.07","5.71","3.47","8.37","1414kJ"
"23.91g","2.17g","358kcal","47.62g","0","0","0","0","0","0","0","0","10.8g","48mg","7.39mg","59mg","7mg","58IU","0IU","1.7mg","0.5g","1.137g","0","0.379g","0mg","63.1g","16144","Lentils, pink or red, raw","Legumes and Legume Products","1600","4.07","6.25","3.47","8.37","1498kJ"
"7.4g","1.9g","55kcal","0","0","0","0","0","0","0","0","0.99g","0.1g","31mg","1.19mg","27mg","63mg","0IU","0","0mg","0.345g","1.061g","0","0.3g","0mg","2g","16163","MORI-NU, Tofu, silken, extra firm","Legumes and Legume Products","1600","NULL","NULL","NULL","NULL","230kJ"
"7.3g","38.1g","551kcal","0","0","0","0","0g","0","0mg","0mg","0.74g","1.5g","10mg","2.56mg","16mg","249mg","1IU","0","0mg","21.597g","4.894g","0","9.643g","0mg","45.1g","18337","Puff pastry, frozen, ready-to-bake","Baked Products","1800","NULL","0","NULL","NULL","2305kJ"
"0g","0g","53kcal","0","0","0","0","0g","0","0mg","0mg","0g","0.2g","5876mg","11.02mg","27mg","10600mg","0IU","0IU","0mg","0g","0g","0","0g","0mg","27.7g","18369","Leavening agents, baking powder, double-acting, sodium aluminum sulfate","Baked Products","1800","1.9","6.2","1.5","8.4","222kJ"
"0g","0g","0kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","0mg","0mg","0mg","27360mg","0IU","0IU","0mg","0g","0g","0","0g","0mg","0g","18372","Leavening agents, baking soda","Baked Products","1800","NULL","0","NULL","NULL","0kJ"
"5.52g","28.74g","468kcal","41.7g","0","0","0","0","0","0","0","0","1.4g","20mg","2.26mg","15mg","353mg","0","0","0","14.489g","3.53g","0","8.129g","0","46.79g","18945","Pie crust, deep dish, frozen, unbaked, made with enriched flour","Baked Products","1800","NULL","NULL","NULL","NULL","1958kJ"
"3.41g","28.69g","506kcal","51.85g","0","0","0","0","0","0","0","0","1.4g","12mg","1.15mg","9mg","472mg","0","0","0","11.815g","3.756g","0","11.087g","0","58.52g","18946","Pie crust, refrigerated, regular, baked","Baked Products","1800","NULL","NULL","NULL","NULL","2117kJ"
"2.97g","25.46g","445kcal","44.9g","0","0","0","0","0","0","0","0","1.8g","10mg","1.02mg","8mg","409mg","0","0","0","10.206g","3.292g","0","9.596g","0","51.11g","18948","Pie crust, refrigerated, regular, unbaked","Baked Products","1800","NULL","NULL","NULL","NULL","1864kJ"
"19.6g","13.7g","228kcal","0","0","0","0","0g","0","230mg","2057mg","1.75g","37g","128mg","13.86mg","499mg","21mg","0IU","0IU","0mg","4.57g","0.44g","0","8.07g","0mg","57.9g","19165","Cocoa, dry powder, unsweetened","Sweets","1900","1.33","5.63","1.83","8.37","952kJ"
"0g","0g","387kcal","0","99.8g","0g","0g","0g","0","0mg","0mg","99.8g","0g","1mg","0.05mg","0mg","1mg","0IU","0IU","0mg","0g","0g","0","0g","0mg","99.98g","19335","Sugars, granulated","Sweets","1900","3.87","6.25","NULL","NULL","1618kJ"
"7.79g","42.63g","598kcal","0","23.99g","0g","0g","0","0","80mg","802mg","23.99g","10.9g","73mg","11.9mg","228mg","20mg","39IU","0","0","12.781g","1.257g","0.03g","24.489g","3mg","45.9g","19904","Chocolate, dark, 70-85% cacao solids","Sweets","1900","NULL","NULL","NULL","NULL","2504kJ"
"0g","0g","0kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","0mg","0mg","0mg","0mg","0IU","0IU","0mg","0g","0g","0g","0g","0mg","100g","19918","Sweetener, herbal extract powder from Stevia leaf","Sweets","1900","NULL","6.25","NULL","NULL","0kJ"
"12.62g","3.1g","335kcal","0","1.7g","0","0","0g","0","0mg","0mg","2.6g","10g","41mg","4.06mg","251mg","11mg","0IU","0IU","0mg","0.949g","0.949g","0","0.677g","0mg","70.59g","20011","Buckwheat flour, whole-groat","Cereal Grains and Pasta","2000","3.78","6.25","3.37","8.37","1402kJ"
"8.46g","3.69g","363kcal","66g","0","0","0","0g","0","0mg","0mg","1.61g","6.4g","138mg","8.5mg","93mg","5mg","5IU","0IU","0mg","0.997g","1.724g","0","0.532g","0mg","76.59g","20017","Corn flour, masa, enriched, white","Cereal Grains and Pasta","2000","4.03","6.25","2.73","8.37","1517kJ"
"0.26g","0.05g","381kcal","0","0","0","0","0g","0","0mg","0mg","0g","0.9g","2mg","0.47mg","3mg","9mg","0IU","0IU","0mg","0.016g","0.025g","0","0.009g","0mg","91.27g","20027","Cornstarch","Cereal Grains and Pasta","2000","4.16","6.25","3.46","8.37","1594kJ"
"14.12g","6.07g","368kcal","52.22g","0","0","0","0","0","0","0","0","7g","47mg","4.57mg","197mg","5mg","14IU","0IU","0","1.613g","3.292g","0","0.706g","0mg","64.16g","20035","Quinoa, uncooked","Cereal Grains and Pasta","2000","4","6.25","4","9","1539kJ"
"6.81g","0.55g","370kcal","0","0","0","0","0","0","0","0","0","2.8g","11mg","1.6mg","23mg","7mg","0IU","0IU","0mg","0.2g","0.198g","0","0.111g","0mg","81.68g","20054","Rice, white, glutinous, raw","Cereal Grains and Pasta","2000","4.16","5.95","3.82","8.37","1548kJ"
"9.89g","0.97g","354kcal","0","0","0","0","0g","0","0mg","0mg","0.22g","2.7g","338mg","4.67mg","19mg","1193mg","0IU","0IU","0mg","0.086g","0.41g","0","0.154g","0mg","74.22g","20082","Wheat flour, white, all-purpose, self-rising, enriched","Cereal Grains and Pasta","2000","4.12","5.7","4.05","8.37","1481kJ"
"10.33g","0.98g","364kcal","0","0","0","0","0g","0","0mg","0mg","0.27g","2.7g","15mg","1.17mg","22mg","2mg","0IU","0IU","0mg","0.087g","0.413g","0","0.155g","0mg","76.31g","20481","Wheat flour, white, all-purpose, unenriched","Cereal Grains and Pasta","2000","4.12","5.7","4.05","8.37","1523kJ"
"2.58g","17.04g","272kcal","25.74g","0g","0.31g","0g","0g","0","0mg","0mg","0.56g","2.7g","19mg","0.6mg","21mg","566mg","2IU","0IU","5.4mg","7.827g","5.665g","0.056g","2.54g","0mg","28.88g","21026","Fast foods, potatoes, hash browns, round pieces or patty","Fast Foods","2100","3.77","6.25","4","9","1140kJ"
"28.4g","27.4g","374kcal","0","0","0","0","0g","0","0mg","0mg","1.31g","0g","961mg","0.17mg","36mg","14mg","818IU","20IU","0mg","7.256g","0.968g","0","17.744g","92mg","3.4g","43405","Cheese, swiss, low sodium","Dairy and Egg Products","0100","NULL","NULL","NULL","NULL","1564kJ"
"75.16g","1.85g","370kcal","0","0","0","0","0g","0","0mg","0mg","0g","0.6g","142mg","5.2mg","25mg","29mg","0IU","0IU","0mg","0.156g","0.81g","0","0.272g","0mg","13.79g","48052","Vital wheat gluten","Cereal Grains and Pasta","2000","NULL","NULL","NULL","NULL","1548kJ"
