"protein","totalFat","calories","starch","sucrose","glucose","lactose","alcohol","adj_protein","caffeine","theobromine","sugars","fiber","calcium","iron","magnesium","sodium","vitA","vitD","vitC","monoFat","polyFat","transFat","satFat","cholesterol","carbohydrate","id","desc","foodGroup","fgId","choFact","nfactor","proFact","fatFact","energy"
"3.5g","10.6g","136kcal","0","0","0","0","0g","0","0mg","0mg","0.22g","0g","141mg","0.07mg","10mg","83mg","328IU","8IU","0.9mg","3.1g","0.4g","0","6.6g","35mg","7.1g","01179","Sour cream, light","Dairy and Egg Products","0100","NULL","NULL","NULL","NULL","569kJ"
"10.19g","0.39g","59kcal","0","0g","0g","2.54g","0g","0","0mg","0mg","3.24g","0g","110mg","0.07mg","11mg","36mg","4IU","0IU","0mg","0.053g","0.012g","0.006g","0.117g","5mg","3.6g","01256","Yogurt, Greek, plain, nonfat","Dairy and Egg Products","0100","NULL","NULL","NULL","NULL","246kJ"
"27.35g","20.41g","309kcal","0","0g","0g","0.18g","0g","0","0mg","0mg","0.26g","0g","761mg","0.12mg","27mg","628mg","522IU","13IU","0mg","5.304g","0.893g","0.733g","12.602g","76mg","4.06g","01260","Cheese, cheddar, reduced fat","Dairy and Egg Products","0100","NULL","NULL","NULL","NULL","1294kJ"
"26.08g","36.24g","508kcal","0","3.69g","2.88g","0g","0g","0","0mg","0mg","6.79g","12.2g","266mg","9.21mg","370mg","13mg","31IU","0IU","7.1mg","22.518g","10.088g","0g","1.989g","0mg","28.09g","02024","Spices, mustard seed, ground","Spices and Herbs","0200","4.07","5.4","3.47","8.37","2126kJ"
"0g","0g","0kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","24mg","0.33mg","1mg","38758mg","0IU","0IU","0mg","0g","0g","0","0g","0mg","0g","02047","Salt, table","Spices and Herbs","0200","NULL","0","NULL","NULL","0kJ"
"0g","0g","21kcal","0","0g","0.1g","0g","0g","0","0mg","0mg","0.4g","0g","7mg","0.2mg","5mg","5mg","0IU","0IU","0mg","0g","0g","0g","0g","0mg","0.93g","02048","Vinegar, cider","Spices and Herbs","0200","NULL","0","NULL","NULL","90kJ"
"0g","100g","884kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","1mg","0.56mg","0mg","2mg","0IU","0IU","0mg","72.961g","10.523g","0","13.808g","0mg","0g","04053","Oil, olive, salad or cooking","Fats and Oils","0400","NULL","0","NULL","8.84","3699kJ"
"0g","50.1g","449kcal","0","0","0","0","0g","0","0mg","0mg","2.5g","0g","0mg","0mg","0mg","1mg","0IU","0IU","0mg","14.8g","24.1g","0","9.1g","0mg","2.5g","04135","Salad dressing, home recipe, vinegar and oil","Fats and Oils","0400","3.8","6.25","4.36","8.84","1878kJ"
"0g","100g","884kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","0mg","0mg","0mg","0mg","0IU","0IU","0mg","63.276g","28.142g","0.395g","7.365g","0mg","0g","04582","Oil, canola","Fats and Oils","0400","NULL","0","NULL","8.84","3699kJ"
"0g","100g","884kcal","0","0","0","0","0g","0","0mg","0mg","0g","0g","0mg","0mg","0mg","0mg","0IU","0","0mg","59.715g","7.095g","31.228g","28.421g","0mg","0g","04664","Oil, industrial, soy (partially hydrogenated ), palm, principal uses icings and fillings","Fats and Oils","0400","NULL","6.25","NULL","8.84","3699kJ"
